Topic,Category,Level,Course name,Instructor,Course Code,Prerequisite,Prerequisite_2,Prerequisite 2,Prerequisite 2,Prerequsite 3 ,Prerequisite 4,Prerequisite 5,Prerequisite 6,Prerequisite 7,Prerequisite 8,Prerequisite 9,Prerequisite 10,Prerequisite 11,Priority in Website ,CSU Class,Best for (goal),URL Link,Online Link
N/A,Online Courses / Structured Learning Paths,Advanced, Advanced Snow Hydrology,Steven Fassnacht,WR 574,CIVE 322 / WR 416,"CIVE 203 / CONE 201 / STAT 301 / STAT 315) , (CIVE 300 / CBE 331 / WR 416 | ESS 210 / GEOL 110 , GEOL 120 / GEOL 122 / GEOL 124 / GEOL 150 / GR 210 / SOCR 240) , (CIVE 202 / STAT 201 / STAT 301 / STAT 307 / STAT 315) , (PH 110 / PH 121 / PH 141","CIVE 203 / CONE 201 / STAT 301 / STAT 315) , (CIVE 300 / CBE 331 / WR 416","ESS 210 / GEOL 110 , GEOL 120 / GEOL 122 / GEOL 124 / GEOL 150 / GR 210 / SOCR 240) , (CIVE 202 / STAT 201 / STAT 301 / STAT 307 / STAT 315) , (PH 110 / PH 121 / PH 141",,,,,,,,,,,Y,Modeling snow hydrology as well as measuring state and change rates in the hydrological cycle ,https://catalog.colostate.edu/search/?search=WR+574,https://online.colostate.edu/courses/WR/WR574.dot
SQL,Online Courses / Structured Learning Paths,New to Programming, Data Wrangling,Vidya Gaddy,DSCI 235,"CS 150B / CS 152 , CS 165",None | CS 163 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 156 / MATH 157 / MATH 159 / MATH 160 | CS 162 / CS 163 / CS 164 / CIS 340 ,None,CS 163 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 156 / MATH 157 / MATH 159 / MATH 160,CS 162 / CS 163 / CS 164 / CIS 340 ,,,,,,,,,2,Y,Getting foundational knowledge related to data cleaning and management,https://catalog.colostate.edu/search/?search=DSCI+235,https://online.colostate.edu/courses/DSCI/DSCI235.dot
C/C++,Online Courses / Structured Learning Paths,Advanced, Introduction to Robot Programming/Simulation,Amir Nazerian,ECE 445,CS 150B / CS 152 / CS 162,None | CS 162 / CS 163 / CS 164 / CIS 340  | CS 150B - CS 163,None,CS 162 / CS 163 / CS 164 / CIS 340 ,CS 150B - CS 163,,,,,,,,,1,Y,Coding for work cells and robot applications,https://catalog.colostate.edu/search/?search=ECE+455,https://online.colostate.edu/courses/ECE/ECE455.dot
AI,Online Courses / Structured Learning Paths,Intermediate,AI for Radar and Remote Sensing,Haonan Chen,ECE 556,"CS 150B / CS 163  / CS 164 , ECE 303  ,  MATH 369",None | CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127  | CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123 | MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160. | MATH 156 / MATH 161 / MATH 255 / MATH 271,None,CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127 ,CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123,MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160.,MATH 156 / MATH 161 / MATH 255 / MATH 271,,,,,,,1,Y,Learning about AI applications for GIS ,https://catalog.colostate.edu/search/?search=ECE+556,https://online.colostate.edu/courses/ECE/ECE556.dot
Python,Online Courses / Structured Learning Paths,Intermediate, Discrete Structures and the Applications ,Vidya Gaddy,CS 220,"CS 152 / CS 162 / CS 163 / CS 164 , MATH 155 / MATH 156 / MATH 159 / MATH 160","CS 162 / CS 163 / CS 164 / CIS 340  | CS 150B - CS 163 | CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127  | CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123 | MATH 120 / MATH 124 , MATH 125 | MATH 120 / MATH 124 , MATH 126 |  MATH 124 , MATH 126 , MATH 157 | MATH 120 / MATH 124 , MATH 126",CS 162 / CS 163 / CS 164 / CIS 340 ,CS 150B - CS 163,CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127 ,CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123,"MATH 120 / MATH 124 , MATH 125","MATH 120 / MATH 124 , MATH 126"," MATH 124 , MATH 126 , MATH 157","MATH 120 / MATH 124 , MATH 126",,,,1,Y,Applying python to integers and functions,https://catalog.colostate.edu/search/?search=CS+220,https://online.colostate.edu/courses/CS/CS220.dot
C/C++,Online Courses / Structured Learning Paths,Beginner, C++ Fundamentals,Logan Seabolt,CS 301,CS 162 / CS 163 / CS 164,CS 150B - CS 163 | CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127  | CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123,CS 150B - CS 163,CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127 ,CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123,,,,,,,,,1,Y,Developing Foundational Skills in using C++ and it's applications,https://catalog.colostate.edu/search/?search=CS+301,https://online.colostate.edu/courses/CS/CS301.dot
HPC,Online Courses / Structured Learning Paths,Intermediate, Optimization Methods in Data Science,Michael Kirby,DSCI 320,"CS 163 / CS 164 / CS 165 / CS 220 / DSCI 235 , DSCI 369 / MATH 369 , MATH 255 / MATH 256 / MATH 261","CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127  | CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123 | CS 162 / CS 163 / CS 164 / CIS 340  | None | None | MATH 157 , MATH 159 / MATH 155 / MATH 156 / MATH 160 / MATH 161 | MATH 157 , MATH 159 / MATH 155 / MATH 156 / MATH 160 / MATH 161 | MATH 126 / MATH 127 , MATH 155 | MATH 156 / MATH 161 , DSCI 369 / MATH 169 | MATH 161",CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127 ,CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123,CS 162 / CS 163 / CS 164 / CIS 340 ,None,None,"MATH 157 , MATH 159 / MATH 155 / MATH 156 / MATH 160 / MATH 161","MATH 157 , MATH 159 / MATH 155 / MATH 156 / MATH 160 / MATH 161","MATH 126 / MATH 127 , MATH 155","MATH 156 / MATH 161 , DSCI 369 / MATH 169",MATH 161,,1,Y,Learning Linear algebra applications for data science,https://catalog.colostate.edu/search/?search=MATH+320,https://online.colostate.edu/courses/MATH/MATH320.dot
HPC,Online Courses / Structured Learning Paths,Intermediate, Software Development,Vidya Gaddy,CS 214,CS 165,CS 162 / CS 163 / CS 164 / CIS 340 ,CS 162 / CS 163 / CS 164 / CIS 340 ,,,,,,,,,,,1,Y,Practicing building software systems,https://catalog.colostate.edu/search/?search=CS+214,https://online.colostate.edu/courses/CS/CS214.dot
AI,Online Courses / Structured Learning Paths,Intermediate, Introduction to Machine Learning ,Ravi Mangal,CS 445,"CS 165 , CS 345 / DSCI 445 , DSCI 235 , DSCI 369 / MATH 229 / MATH 369","CS 162 / CS 163 / CS 164 / CIS 340  | CS 220 , CS 150B / CS 152 / CS 165 / DSCI 235 , MATH 155 / MATH 160 , STAT 301 / STAT 302A / ECE 303 / STAT 303 / STAT 307 / STAT 315 | DSCI 369 / MATH 369 , STAT 341 | CS 150B / CS 152 , CS 165 / STAT 341  | MATH 157 , MATH 159 / MATH 155 / MATH 156 / MATH 160 / MATH 161 |  MATH 141 / MATH 155 / MATH 160 | MATH 157 , MATH 159 / MATH 155 / MATH 156 / MATH 160 / MATH 161",CS 162 / CS 163 / CS 164 / CIS 340 ,"CS 220 , CS 150B / CS 152 / CS 165 / DSCI 235 , MATH 155 / MATH 160 , STAT 301 / STAT 302A / ECE 303 / STAT 303 / STAT 307 / STAT 315","DSCI 369 / MATH 369 , STAT 341","CS 150B / CS 152 , CS 165 / STAT 341 ","MATH 157 , MATH 159 / MATH 155 / MATH 156 / MATH 160 / MATH 161", MATH 141 / MATH 155 / MATH 160,"MATH 157 , MATH 159 / MATH 155 / MATH 156 / MATH 160 / MATH 161",,,,,1,Y,Developing fundamental knowledge related to Machine Learning ,https://catalog.colostate.edu/search/?search=CS+445,https://online.colostate.edu/courses/CS/CS445.dot
HPC,Online Courses / Structured Learning Paths,Intermediate, Parallel Processing ,Sanjay Rajopadhye,CS 475,"CS 250 / CS 270 , CS 320 , CT 301","CS 162 / CS 163 / CS 164 /  | CS 162 / CS 163 / CS 164 / CIS 340  | CS 220 , CS 165 , MATH 155 / MATH 156  / MATH 160 , DSCI 369 / MATH 229 / MATH 369 | CS 162 / CS 163 / CS 164",CS 162 / CS 163 / CS 164 / ,CS 162 / CS 163 / CS 164 / CIS 340 ,"CS 220 , CS 165 , MATH 155 / MATH 156  / MATH 160 , DSCI 369 / MATH 229 / MATH 369",CS 162 / CS 163 / CS 164,,,,,,,,2,Y,Developing fundamenatl skills in parallel processing for computational applications,https://catalog.colostate.edu/search/?search=CS+475,https://online.colostate.edu/courses/CS/CS475.dot
