Topic,Category,Level,Course name,Instructor,Course Code,Prerequisite,Priority in Website ,CSU Class,Best for (goal),URL Link
Bash,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Information Systems Essentials,Xinran Wang,CIS 606,None,1,Y,Learning software development,https://online.colostate.edu/courses/CIS/CIS606.dot
C/C++,In-Person Courses / Structured Learning Paths,Beginner,Colorado State University: Introduction to C Programming I,Logan Seabolt,CS 156,None,1,Y,Famililarizing yourself with C Coding Concepts,
Excel,Online Courses / Structured Learning Paths,Beginner,Colorado State University: Life Cycle Assessment for Sustiainability,Elizabeth Toman,ESS 555,None,1,Y,Using Excel to conduct a research project revolving around life cycles,https://online.colostate.edu/courses/ESS/ESS555.dot
Excel,Online Courses / Structured Learning Paths,New to Programming,Colorado State University: Working With Data,Yuulin An,ECON 235,None,1,Y,Learning to use excel for data management,https://online.colostate.edu/courses/ECON/ECON235.dot
Geospatial,In-Person Courses / Structured Learning Paths,Beginner,Colorado State University Remote Sensing and Image Interpretation,Jessica O'Connell,NR 323,None,1,Y,Learning introductory remote sensing skills ,
Geospatial,In-Person Courses / Structured Learning Paths,Advanced,Colorado State University: Engineering Applications of GIS and GPS,Mazdak Arabi,CIVE 576,None,1,Y,Applying GIS and GPS skills to engineering,
Geospatial,In-Person Courses / Structured Learning Paths,Advanced,Colorado State University: Geographic Information Systems in Health,Josh Reyling ,PBHL 572,None,1,Y,Learning how to use GIS for public health applications,
Geospatial,Online Courses / Structured Learning Paths,New to Programming,Colorado State University: Introduction to Geospatial Science,Elizabeth Tulanowski,NR 319,None,1,Y, learning ArcGIS and geospatial concepts ,https://online.colostate.edu/courses/NR/NR319.dot
Geospatial,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: Landscape Graphics Studio,Scott Curry,HORT 231,None,1,Y,Learning how to create 3d landscape concepts using hands on and digital media techniques,
Geospatial,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: Mapping Diverse Perspectives in Conservation,Trent Pearce,FW 310,None,1,Y,Learning to use GIS techniques for collaborative conservation applications,
Geospatial,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: Spatial Analysis with GIS,Steve Leisz,GR 420,None,1,Y,Learning how to use GIS for spatial analysis,
HPC,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Engaging in Virtual Worlds,Nathaniel Blanchard,CS 462,None,2,Y,Coding to build 3d models and develop 3d worlds,https://online.colostate.edu/courses/CS/CS462.dot
Matlab,Online Courses / Structured Learning Paths,Beginner,Colorado State University: Engineering Design--3D Modeling and Printing,Doug Fankell,MECH 210,None,,Y,Learning how to apply 3d softwares in mechanical engineering,https://online.colostate.edu/courses/MECH/MECH210.dot
N/A,Online Courses / Structured Learning Paths,Beginner,Colorado State University Design Thinking Toolbox: 3d Animation and Storytelling,Brendan Kelley,IDEA 310Q,None,2,Y,Using 3d modeling and animation,https://online.colostate.edu/courses/IDEA/IDEA310Q.dot
Excel,Online Courses / Structured Learning Paths,Beginner,Colorado State University: Business Data Visualization,Adela Chen,CIS 576,None,1,Y,Implementing best Practices for data visualization,https://online.colostate.edu/courses/CIS/CIS576.dot
N/A,Online Courses / Structured Learning Paths,Beginner,Colorado State University: General Statistics,Haotian Liu,STAT 201,none,,Y,Analyzing datasets using JMP coding software,https://online.colostate.edu/courses/STAT/STAT201.dot
Python,In-Person Courses / Structured Learning Paths,New to Programming,Colorado State University: Culture and Coding: Python,Elisa Cundiff,CS 150B,None,2,Y,Introducing oneself to python concepts ,
R,Online Courses / Structured Learning Paths,New to Programming,Colorado State University: Introduction to R Programming,Dharma Hoy,STAT 158,None,1,Y,Getting foundational knowledge in R concepts ,https://online.colostate.edu/courses/STAT/STAT158.dot
R,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: R Programming for Research,Brooke Anderson ,ERHS 535,None,1,Y,Learning R and using it for research purposes ,
R,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Water Quality Monitoring,Ryan Bailey ,CIVE 542,None,1,Y,Modeling Lake and Stream Water quality,https://online.colostate.edu/courses/CIVE/CIVE542.dot
SQL,Online Courses / Structured Learning Paths,New to Programming,Colorado State University: Personal Computing,Logan Seabolt,CS 110,None,1,Y,Getting foundational knowledge in computer management and data ,https://online.colostate.edu/courses/CS/CS110.dot
N/A,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Materials Science and Engineering Methods: Computational Materials Methods,Christopher Weinberger,MATH 502B,MATH 340 / MATH 345 / MECH 331,,Y,Modeling Materials using coding ,"MSE 502B, https://online.colostate.edu/courses/MSE/MSE502F.dot, https://www.bing.com/ck/a?!&&p=5edda8e9fe874b1433431abd92ef6f63a820e0f3da8864d83835de49ff3e649dJmltdHM9MTc3OTQwODAwMA&ptn=3&ver=2&hsh=4&fclid=2a68803d-d7c7-641b-3466-96e4d6066551&psq=Christopher+Weinberger&u=a1aHR0cHM6Ly93d3cuZW5nci5jb2xvc3RhdGUuZWR1L21lL2ZhY3VsdHkvZHItY2hyaXMtd2VpbmJlcmdlci8"
Matlab,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Control Systems,Amir Nazerian,MECH 417,"MATH 340 , MECH 307",1,Y,Applying matlab for control loops and forward loops,https://online.colostate.edu/courses/MECH/MECH417.dot
Matlab,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Mechancial Engineering Computational Methods,Ciprian Dumitrache,MECH 305,MATH 340,1,Y,"Applying numerical methods, programming, and machine learning to mechanical engineering",https://online.colostate.edu/courses/MECH/MECH305.dot
Matlab,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Mechanical Engineering Computational Methods,Doug Fankell,MECH 305,MATH 340,1,Y,Exploring mechanical engineering applications for data analysis and machine learning,https://online.colostate.edu/courses/MECH/MECH305.dot
HPC,In-Person Courses / Structured Learning Paths,Beginner,Colorado State University: Design Thinking Toolbox: 3D Modeling,Paul Callahan,IDEA 310,IDEA 210,1,Y,Learning how to use 3d modelling software,
Unix,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: Linux as a Computational Platform,Erin Nishimura,DSCI 510,Graduate,1,Y,Learning to use linux for installing software and basic computational programming,
Geospatial,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: Geospatial Project Design and Analysis,Elizabeth Tulanowski,NR 450,GR 420 / NR 319 / NR 322,1,Y,Learning to develop a GIS based project from start to end,
Geospatial,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: GIS for Social Scientists,Sayat Temirbekov,GR 311,GR 100,1,Y,Learning applications of GIS for social sciecnes ,https://online.colostate.edu/courses/GR/GR311.dot
R,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Wildlife Data Collection and Analysis,Larissa Bailey,FW 471,"FW 370 , NR 220",2,Y,Learning how to collect and analyze wildlife data in a professional manner,https://online.colostate.edu/courses/FW/FW471.dot
R,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Environmental Data Science Applications: Water Resources,Mike Johnson,ESS 523C,ESS 523A OR SOCR 523A,2,Y,Learning about water based appilcations of R and Machine Learning,https://online.colostate.edu/courses/ESS/ESS523C.dot
R,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: R Programming: Research II,Brooke Anderson,ERHS 576B,"ERHSA / ERHS581A3, Graduate",,Y,,
R,Online Courses / Structured Learning Paths,Beginner,Colorado State University: Mechanical Engineering Data Analysis in R,John Volckens,MECH 476,ENGR 111 OR MECH 103,1,Y,Introductory concepts of R for mechanical engineering applications,https://online.colostate.edu/courses/MECH/MECH476.dot
AI,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Machine Learning in Imaging and Spectroscopy (Paywalled),Jesse Wilson,BIOM 559,"ECE 312 , BIOM 403 / ECE 403 / 504 , ECE 303 / STAT 303 OR BIOM 431 , CS 150B / CS 152 / CS 163 / CS 164",2,Y,Applying Machine Learning to Imaging and Spectroscopy,https://online.colostate.edu/courses/BIOM/BIOM559.dot
Geospatial,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Systems Sensing and Imaging Analysis,Steven Simske,SYSE 512,ECE 303 / STAT 303 / STAT 315,1,Y,Learning to transmite physical data to online data,https://online.colostate.edu/courses/SYSE/SYSE512.dot
Matlab,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Engineering Data Design and Visualization,Erika Gallegos (Miller),SYSE 541,ECE 303 / STAT 303 / STAT 315,,Y,"Learning to design data, create visualizations, and communicate patterns",https://online.colostate.edu/courses/SYSE/SYSE541.dot
HPC,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Modeling Human Systems Behavior,Steve Conrad,ENGR 535,ECE 303 / STAT 303 / STAT 311 / STAT 315,,Y,Modeling applicatoins for human system behvaior,https://online.colostate.edu/courses/ENGR/ENGR535.dot
AI,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Adaptive Systems and Machine Learning,Mahmood Azimi-Sadjadi,ECE 553,"ECE 303 / STAT 303 , ECE 312",1,Y,Learning to use AI for supervised and unsupervised learning,https://online.colostate.edu/courses/ECE/ECE553.dot
AI,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Biomedical Signal Processing,Jesse Wilson,ECE 537,ECE 303 / ECE 311 / MATH 340 / STAT 303,1,Y,Applying AI to  Biomedical signal processing and noise reduction,https://online.colostate.edu/courses/ECE/ECE537.dot
C/C++,In-Person Courses / Structured Learning Paths,Advanced,Colorado State University: Microcontrollers and C for Internet-of-Things,Steve Undy,ECE 253,ECE 102 / ECE 252,2,Y,Practicing C Coding for using micocontrollers and IOT applications,
C/C++,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: Introduction to Microcontrollers and IoT,Steve Undy,ECE 251,ECE 102,1,Y,Learning how to use C++ Coding language for Internet of Things applications,
N/A,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Linear Algebra for Data Science: Matrices and Vectors Spaces,Michael Kirby,DSCI 569B,DSCI 569A / MATH 569A,,Y,Accessing a series of courses related to Linear Algebra for Data Science ,"MATH 569A , https://online.colostate.edu/courses/MATH/MATH569B.dot, https://online.colostate.edu/courses/MATH/MATH569C.dot"
HPC,In-Person Courses / Structured Learning Paths,Advanced,Colorado State University: RNA-Sequencing Data Analysis,Erin Nishimura ,DSCI 512,"DSCI 510 , Graduate",1,Y,Practicing RNA Based coding applications,
Python,In-Person Courses / Structured Learning Paths,Advanced,Colorado State University: Genomics Data Analysis in Python,Tai Montgomery,DSCI 511,"DSCI 510 , Graduate",1,Y,Learning how to analyze complex biological datasets with python,
HPC,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Parallel Programming,Sanjay Rajopadhye,CS 575,CS 475,2,Y,Learning to use complex Parallel Programming applications,https://online.colostate.edu/courses/CS/CS475.dot
AI,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Artificial Intelligience,Nikhil Krishnaswamy,CS 540,CS 440,2,Y,Using artificial intelliigience for data mining and computation,https://online.colostate.edu/courses/CS/CS540.dot
HPC,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Machine Learning,Asa Ben-Hur,CS 545,CS 440,1,Y,applying algorithm analysis to biology ,https://online.colostate.edu/courses/CS/CS425.dot
HPC,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Big Data,Sangmi Pallickara,CS 535,CS 435,,Y,"Large scale topics surrounding Data analysis, modeling, and prediction",https://online.colostate.edu/courses/CS/CS535.dot
AI,Online Courses / Structured Learning Paths,Advanced,Colorado State University:  Natural Language Processing,Nikhil Krishnaswamy,CS 542,CS 345,1,Y,Developing knowledge of coding languages and their algorithim/computational capabilities,https://online.colostate.edu/courses/CS/CS542.dot
AI,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Introduction to Artifical Intelligience,Fabio De Abreu Santos,CS 440,CS 320 / CS 345,1,Y,Learning how to use AI in Coding,https://online.colostate.edu/courses/CS/CS440.dot
HPC,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Introduction to Bioinformatics Algorithms,Asa Ben-Hur,CS 525,"CS 320 , STAT 301 / ECE 303 / STAT 303 / STAT 307 / STAT 369",1,Y,applying algorithm analysis to biology ,https://online.colostate.edu/courses/CS/CS425.dot
